"filename", "language", "XML", "Dart", "YAML", "JSON", "Markdown", "HTML", "Properties", "Groovy", "Project.pbxproj", "Swift", "C++", "Java", "comment", "blank", "total"
"/Users/bharaths/StudioProjects/COR/ios/Runner.xcodeproj/project.pbxproj", "Project.pbxproj", 0, 0, 0, 0, 0, 0, 0, 0, 642, 0, 0, 0, 31, 16, 689
"/Users/bharaths/StudioProjects/COR/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/bharaths/StudioProjects/COR/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/bharaths/StudioProjects/COR/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/bharaths/StudioProjects/COR/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/bharaths/StudioProjects/COR/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/bharaths/StudioProjects/COR/ios/Runner/Base.lproj/Main.storyboard", "XML", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/bharaths/StudioProjects/COR/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/bharaths/StudioProjects/COR/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"/Users/bharaths/StudioProjects/COR/ios/firebase_app_id_file.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/bharaths/StudioProjects/COR/lib/core/dependency.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 63
"/Users/bharaths/StudioProjects/COR/lib/core/model/item_model.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
"/Users/bharaths/StudioProjects/COR/lib/core/model/outfit_model.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/bharaths/StudioProjects/COR/lib/firebase_options.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 75
"/Users/bharaths/StudioProjects/COR/lib/main.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 57
"/Users/bharaths/StudioProjects/COR/lib/src/add_clothes/add_clothes_controller.dart", "Dart", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 21, 150
"/Users/bharaths/StudioProjects/COR/lib/src/add_clothes/add_product.dart", "Dart", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 123
"/Users/bharaths/StudioProjects/COR/lib/src/auth/forgot_password/forgot_password_screen.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"/Users/bharaths/StudioProjects/COR/lib/src/auth/login/bg_image.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/bharaths/StudioProjects/COR/lib/src/auth/login/login_card.dart", "Dart", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 111
"/Users/bharaths/StudioProjects/COR/lib/src/auth/login/login_controller.dart", "Dart", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 115
"/Users/bharaths/StudioProjects/COR/lib/src/auth/login/login_screen.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/bharaths/StudioProjects/COR/lib/src/auth/register/register_card.dart", "Dart", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 77
"/Users/bharaths/StudioProjects/COR/lib/src/auth/register/register_controller.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"/Users/bharaths/StudioProjects/COR/lib/src/auth/register/register_screen.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/bharaths/StudioProjects/COR/lib/src/auth/verify_email/verify_email_view.dart", "Dart", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 76
"/Users/bharaths/StudioProjects/COR/lib/src/home_screen/home_controller.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/bharaths/StudioProjects/COR/lib/src/home_screen/home_screen.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 59
"/Users/bharaths/StudioProjects/COR/lib/src/home_screen/side_drawer/side_drawer.dart", "Dart", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 140
"/Users/bharaths/StudioProjects/COR/lib/src/new_outfit/outfit_controller.dart", "Dart", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 129
"/Users/bharaths/StudioProjects/COR/lib/src/new_outfit/outfit_screen.dart", "Dart", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 132
"/Users/bharaths/StudioProjects/COR/lib/src/update_clothes/update_clothes_controller.dart", "Dart", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 132
"/Users/bharaths/StudioProjects/COR/lib/src/update_clothes/update_screen.dart", "Dart", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 92
"/Users/bharaths/StudioProjects/COR/lib/src/view_clothes/all_product_controller.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 72
"/Users/bharaths/StudioProjects/COR/lib/src/view_clothes/all_products.dart", "Dart", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 144
"/Users/bharaths/StudioProjects/COR/lib/src/view_clothes/details.dart", "Dart", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 112
"/Users/bharaths/StudioProjects/COR/lib/src/view_outfits/view_outfits_controller.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 78
"/Users/bharaths/StudioProjects/COR/lib/src/view_outfits/view_outfits_screen.dart", "Dart", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 93
"/Users/bharaths/StudioProjects/COR/lib/texttheme.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
